"date","year","month","rain","sixmnthtot","index","indexBelowThreshold","count","count2","sums","sums2"
1881-06-01,1881,6,26.7,193.2,-2.10687022900763,-2.10687022900763,0,0,0,0
1881-07-01,1881,7,5,183.2,-2.16793893129771,-2.16793893129771,1,1,-2.16793893129771,-2.16793893129771
1881-08-01,1881,8,38.1,164.5,-2.53435114503817,-2.53435114503817,2,2,-4.70229007633588,-4.70229007633588
1881-09-01,1881,9,32.4,153,-3.02290076335878,-3.02290076335878,3,3,-7.72519083969466,-7.72519083969466
1881-10-01,1881,10,21.4,174.4,-2.77862595419847,-2.77862595419847,4,4,-10.5038167938931,-10.5038167938931
1881-11-01,1881,11,35.5,159.1,-2.90076335877863,-2.90076335877863,5,5,-13.4045801526718,-13.4045801526718
1881-12-01,1881,12,8,140.4,-3.45038167938931,-3.45038167938931,6,6,-16.8549618320611,-16.8549618320611
1882-01-01,1882,1,0,135.4,-3.56923076923077,-3.56923076923077,7,7,-20.4241926012918,-20.4241926012918
1882-02-01,1882,2,0,97.3,-3.93846153846154,-3.93846153846154,8,8,-24.3626541397534,-24.3626541397534
1882-03-01,1882,3,5.7,70.6,-4,-4,9,9,-28.3626541397534,-28.3626541397534
1882-04-01,1882,4,40.4,89.6,-3.81538461538462,-3.81538461538462,10,10,-32.178038755138,-32.178038755138
1882-05-01,1882,5,29.5,83.6,-3.87692307692308,-3.87692307692308,11,11,-36.0549618320611,-36.0549618320611
1882-06-01,1882,6,17.2,92.8,-3.87786259541985,-3.87786259541985,12,12,-39.9328244274809,-39.9328244274809
1882-07-01,1882,7,4.9,97.7,-3.87786259541985,-3.87786259541985,13,13,-43.8106870229008,-43.8106870229008
1882-08-01,1882,8,53.9,151.6,-2.90076335877863,-2.90076335877863,14,14,-46.7114503816794,-46.7114503816794
1882-09-01,1882,9,6.4,152.3,-3.08396946564886,-3.08396946564886,15,15,-49.7954198473282,-49.7954198473282
1882-10-01,1882,10,80.3,192.2,-2.22900763358779,-2.22900763358779,16,16,-52.024427480916,-52.024427480916
1882-11-01,1882,11,59.9,222.6,-0.885496183206107,0,0,17,0,-52.9099236641221
1882-12-01,1882,12,42.5,247.9,-0.458015267175572,0,0,18,0,-53.3679389312977
1883-01-01,1883,1,0,243,-0.615384615384615,0,0,19,0,-53.9833235466823
1883-02-01,1883,2,29.3,218.4,-1.04615384615385,-1.04615384615385,1,20,-1.04615384615385,-55.0294773928362
1883-03-01,1883,3,14.7,226.7,-1.41538461538462,-1.41538461538462,2,21,-2.46153846153846,-56.4448620082208
1883-04-01,1883,4,7.9,154.3,-3.01538461538462,-3.01538461538462,3,22,-5.47692307692308,-59.4602466236054
1883-05-01,1883,5,32.5,126.9,-3.56923076923077,-3.56923076923077,4,23,-9.04615384615385,-63.0294773928362
1883-06-01,1883,6,19.3,103.7,-3.75572519083969,-3.75572519083969,5,24,-12.8018790369935,-66.7852025836759
1883-07-01,1883,7,23.8,127.5,-3.45038167938931,-3.45038167938931,6,25,-16.2522607163829,-70.2355842630652
1883-08-01,1883,8,30.2,128.4,-3.57251908396947,-3.57251908396947,7,26,-19.8247798003523,-73.8081033470346
1883-09-01,1883,9,36.8,150.5,-3.14503816793893,-3.14503816793893,8,27,-22.9698179682912,-76.9531415149736
1883-10-01,1883,10,75.1,217.7,-1.06870229007634,-1.06870229007634,9,28,-24.0385202583676,-78.0218438050499
1883-11-01,1883,11,40.2,225.4,-0.763358778625954,0,0,29,0,-78.7852025836759
1883-12-01,1883,12,0,206.1,-1.37404580152672,-1.37404580152672,1,30,-1.37404580152672,-80.1592483852026
1884-01-01,1884,1,2.65,184.95,-2.27692307692308,-2.27692307692308,2,31,-3.65096887844979,-82.4361714621257
1884-02-01,1884,2,17.15,171.9,-2.58461538461538,-2.58461538461538,3,32,-6.23558426306518,-85.0207868467411
1884-03-01,1884,3,16.6,151.7,-3.2,-3.2,4,33,-9.43558426306518,-88.2207868467411
1884-04-01,1884,4,44.2,120.8,-3.56923076923077,-3.56923076923077,5,34,-13.0048150322959,-91.7900176159718
1884-05-01,1884,5,35.55,116.15,-3.75384615384615,-3.75384615384615,6,35,-16.7586611861421,-95.543863769818
1884-06-01,1884,6,69.7,185.85,-2.35114503816794,-2.35114503816794,7,36,-19.10980622431,-97.8950088079859
1884-07-01,1884,7,15.35,198.55,-1.31297709923664,-1.31297709923664,8,37,-20.4227833235467,-99.2079859072226
1884-08-01,1884,8,16.5,197.9,-1.55725190839695,-1.55725190839695,9,38,-21.9800352319436,-100.76523781562
1884-09-01,1884,9,44.95,226.25,-0.702290076335878,0,0,39,0,-101.467527891955
1884-10-01,1884,10,29.4,211.45,-1.43511450381679,-1.43511450381679,1,40,-1.43511450381679,-102.902642395772
1884-11-01,1884,11,40.5,216.4,-1.06870229007634,-1.06870229007634,2,41,-2.50381679389313,-103.971344685849
1884-12-01,1884,12,23.75,170.45,-2.59541984732824,-2.59541984732824,3,42,-5.09923664122137,-106.566764533177
1885-01-01,1885,1,157.7,312.8,1.10769230769231,0,0,0,0,0
1885-02-01,1885,2,46.05,342.35,1.53846153846154,0,0,0,0,0
1885-03-01,1885,3,29.2,326.6,1.23076923076923,0,0,0,0,0
1885-04-01,1885,4,44.5,341.7,1.72307692307692,0,0,0,0,0
1885-05-01,1885,5,15.55,316.75,1.29230769230769,0,0,0,0,0
1885-06-01,1885,6,39.7,332.7,1.9236641221374,0,0,0,0,0
1885-07-01,1885,7,4.7,179.7,-2.35114503816794,-2.35114503816794,1,1,-2.35114503816794,-2.35114503816794
1885-08-01,1885,8,18.25,151.9,-2.83969465648855,-2.83969465648855,2,2,-5.19083969465649,-5.19083969465649
1885-09-01,1885,9,38.9,161.6,-2.83969465648855,-2.83969465648855,3,3,-8.03053435114504,-8.03053435114504
1885-10-01,1885,10,23.45,140.55,-3.32824427480916,-3.32824427480916,4,4,-11.3587786259542,-11.3587786259542
1885-11-01,1885,11,14.1,139.1,-3.45038167938931,-3.45038167938931,5,5,-14.8091603053435,-14.8091603053435
1885-12-01,1885,12,29.6,129,-3.69465648854962,-3.69465648854962,6,6,-18.5038167938931,-18.5038167938931
